"","title.books","publisher.books"
"1","도메인 주도 개발 시작하기","한빛미디어"
"2","그림과 실습으로 배우는 도커 & 쿠버네티스","위키북스"
"3","기적의 스마트스토어 노하우","인컴트랜드"
"4","2022 수제비 정보처리기능사 실기","건기원"
"5","맛있는 디자인 애프터 이펙트 CC 2022","한빛미디어"
"6","파이썬으로 배우는 소프트웨어와 인공지능","영남대학교출판부(知YU智)"
"7","모두를 위한 소프트웨어와 인공지능","영남대학교출판부(知YU智)"
"8","나의 첫 로블록스 게임 프로그래밍","비제이퍼블릭(BJ퍼블릭)"
"9","국가공무원 필독서","에스엔에스소통연구소"
"10","알기 쉬운 조명 교과서","에이콘출판사"
"11","마인크래프트 최강 전략 백과","서울문화사"
"12","코딩없는 개발 DevOn NCD","(주)박영사"
"13","한 발 앞선 부모는 인공지능을 공부한다","성안당"
"14","유연한 소프트웨어를 만드는 설계 원칙","한빛미디어"
"15","아두이노를 활용한 무선통신 응용","가람"
"16","운영체제","현우사"
"17","2022 에듀윌 EXIT 정보처리기사 필기","에듀윌"
"18","파이썬을 이용한 딥러닝/강화학습 주식투자","위키북스"
"19","그림으로 이해하는 인지과학","길벗"
"20","코딩아 놀자~ 앱 인벤터 200% 활용 ","에듀아이"
"21","솔리드웍스 50시간 완성 (모델링편)","피앤피북"
"22","CDT 코딩창의개발능력 1급 엔트리","해람북스"
"23","윈도우 11 가이드북","영진닷컴"
"24","UX 개론","유엑스리뷰"
"25","다빈치 코딩 ","성안당"
"26","도커, 쿠버네티스, 테라폼으로 구현하는 마이크로서비스","에이콘출판사"
"27","컴스타 코딩(엔트리)+한쇼 NEO(2016)","아카데미소프트"
"28","2022 이공자 ITQ한쇼 NEO (2016)","아카데미소프트"
"29","헬스케어 분석을 위한 머신러닝","에이콘출판사"
"30","맛있는 디자인 프리미어 프로 CC 2022","한빛미디어"
"31","3D프린터운용기능사 실기","예문사"
"32","무작정 따라하기 엑셀&파워포인트","길벗"
"33","마스터링 자기주권신원","제이펍"
"34","알고리즘 트레이닝 : 프로그래밍 대회 입문 가이드","인사이트(insight)"
"35","한 권으로 끝내는 메타버스 크리에이터","생능북스"
"36","2022 기사패스 정보처리기사 실기 문제집 1200","한국정보화기술"
"37","Quantitative Economics with R","에이콘출판사"
"38","빵 터지는 라이브 커머스","씽크스마트"
"39","헤드 퍼스트 디자인 패턴","한빛미디어"
"40","텐서플로 2와 머신러닝으로 시작하는 자연어 처리","위키북스"
"41","무작정 따라하기 엑셀&파워포인트&워드","길벗"
"42","시나공 GTQ 포토샵 2급 ver.CC (3급 포함)","길벗"
"43","무작정 따라하기 엑셀&파워포인트&워드+한글","길벗"
"44","구글 광고 하는 여자","디지털북스"
"45","프리미어 프로의 오디오 이펙터 테크닉","알파미디어"
"46","컴놀 한셀 꿈트리(NEO, 2016)","아카데미소프트"
"47","2022 이공자 ITQ한쇼 NEO(2016) (일반형)","아카데미소프트"
"48","인공지능 자율주행 RC카 체험하고 코딩하기 with 라즈베리파이","앤써북"
"49","2022 PERFECT 전산세무 2급 파이널","도서출판배움"
"50","2022 PERFECT 전산세무 2급","도서출판배움"
"51","2022 ANT 전산회계운용사 2급 실기","나눔A&T"
"52","스프링 DIAT 프리젠테이션(한쇼)2016","REXmedia(렉스미디어)"
"53","라이센스플러스 DIAT 프리젠테이션(한쇼)2016","REXmedia(렉스미디어)"
"54","라이센스플러스 GTQ 포토샵 2급 CC","REXmedia(렉스미디어)"
"55","R을 활용한 통계학","도서출판청람(이수영)"
"56","R 하기 좋은 날","도서출판청람(이수영)"
"57","나만의 앱 만들기 앱인벤터 & 아두이노","도서출판청람(이수영)"
"58","핵심코어! 파이썬 프로그래밍","인피니티북스"
"59","김변수와 시작하는 코딩생활 with 파이썬","영진닷컴"
"60","처음 배우는 엘릭서 프로그래밍","한빛미디어"
"61","세상에서 가장 쉬운 테크놀로지 수업","리틀에이(LittleA)"
"62","파이썬 데이터 분석","생능출판사"
"63","바로 쓰는 일러스트레이터 CC","시대고시기획 시대교육"
"64","IEQ 지도사 인터넷 윤리자격 한권으로 끝내기","시대고시기획 시대교육"
"65","파이썬으로 구현하는 AI 이해와 활용","일진사"
"66","컴퓨터 그래픽스 배움터","생능출판사"
"67","찐 UXer가 알려주는 UX/UI 실무 가이드","한빛미디어"
"68","2022 시나공 정보처리산업기사 실기","길벗"
"69","이게 진짜 파이썬EASY!","책밥"
"70","애프터 이펙트 CC 무작정 따라하기","길벗"
"71","프리미어 프로 CC 무작정 따라하기","길벗"
"72","제대로 배우는 파이썬","생능출판사"
"73","전기자동차 PLC 프로그래밍 코딩 (XGB, FX 3U_PLC 사용)","광문각"
